"Species","Site","Date","mean","2.5%","97.5%"
"Branchinecta_lindahli","VP-1","T1",0.667,0.023,0.995
"Branchinecta_lindahli","VP-1","T2",0.012,0,0.091
"Branchinecta_lindahli","VP-1","T3",0.011,0,0.078
"Branchinecta_lindahli","VP-2","T1",0.011,0,0.07
"Branchinecta_lindahli","VP-2","T2",0.011,0,0.08
"Branchinecta_lindahli","VP-2","T3",0.013,0,0.082
"Branchinecta_lindahli","VP-3","T1",0.011,0,0.064
"Branchinecta_lindahli","VP-3","T2",0.011,0,0.077
"Branchinecta_lindahli","VP-3","T3",0.011,0,0.071
"Branchinecta_lindahli","VP-4","T1",0.011,0,0.067
"Branchinecta_lindahli","VP-4","T2",0.012,0,0.092
"Branchinecta_lindahli","VP-4","T3",0.011,0,0.071
"Branchinecta_lindahli","VP-5","T1",0.667,0.022,0.996
"Branchinecta_lindahli","VP-5","T2",0.012,0,0.074
"Branchinecta_lindahli","VP-5","T3",0.012,0,0.089
"Branchinecta_lindahli","VP-6","T1",0.011,0,0.068
"Branchinecta_lindahli","VP-6","T2",0.011,0,0.082
"Branchinecta_lindahli","VP-6","T3",0.011,0,0.082
"Branchinecta_lindahli","VP-7","T1",0.011,0,0.075
"Branchinecta_lindahli","VP-7","T2",0.01,0,0.06
"Branchinecta_lindahli","VP-7","T3",0.011,0,0.072
"Branchinecta_lindahli","VP-8","T1",0.009,0,0.061
"Branchinecta_lindahli","VP-8","T3",0.009,0,0.061
"Branchinecta_lindahli","VP-9","T3",0.664,0.024,0.993
"Branchinecta_lindahli","VP-10","T1",0.012,0,0.076
"Branchinecta_lindahli","VP-10","T2",0.011,0,0.071
"Branchinecta_lindahli","VP-10","T3",0.011,0,0.07
